municipality,year,inc
Sorø,2008,296888.0
Stevns,2008,302844.0
Vordingborg,2008,277028.0
Assens,2008,270585.0
Faaborg-Midtfyn,2008,288203.0
Kerteminde,2008,266496.0
Langeland,2008,248318.0
Middelfart,2008,315835.0
Nordfyns,2008,279170.0
Nyborg,2008,266141.0
Odense,2008,291532.0
Svendborg,2008,317521.0
Ærø,2008,255511.0
Billund,2008,287278.0
Esbjerg,2008,302087.0
Fanø,2008,282424.0
Fredericia,2008,307878.0
Haderslev,2008,307772.0
Kolding,2008,304140.0
Sønderborg,2008,297747.0
Tønder,2008,268262.0
Varde,2008,320211.0
Vejen,2008,299345.0
Vejle,2008,313809.0
Aabenraa,2008,308611.0
Favrskov,2008,285538.0
Hedensted,2008,283844.0
Horsens,2008,280833.0
Norddjurs,2008,268492.0
Odder,2008,294598.0
Randers,2008,287840.0
Samsø,2008,238952.0
Silkeborg,2008,296826.0
Skanderborg,2008,298940.0
Syddjurs,2008,273952.0
Aarhus,2008,286432.0
Herning,2008,295784.0
Holstebro,2008,311702.0
Ikast-Brande,2008,293937.0
Lemvig,2008,285691.0
Ringkøbing-Skjern,2008,296242.0
Skive,2008,302958.0
Struer,2008,299248.0
Viborg,2008,306978.0
Brønderslev,2008,262960.0
Frederikshavn,2008,300581.0
Hjørring,2008,300793.0
Jammerbugt,2008,280674.0
Læsø,2008,227860.0
Mariagerfjord,2008,286876.0
Morsø,2008,304415.0
Rebild,2008,284499.0
Thisted,2008,307058.0
Vesthimmerlands,2008,270197.0
Aalborg,2008,278709.0
Copenhagen,2009,266636.0
Frederiksberg,2009,304406.0
Dragør,2009,375508.0
Tårnby,2009,296610.0
Albertslund,2009,283067.0
Ballerup,2009,313293.0
Brøndby,2009,277210.0
Gentofte,2009,429525.0
Gladsaxe,2009,318082.0
Glostrup,2009,324666.0
Herlev,2009,303501.0
Hvidovre,2009,287009.0
Høje-Taastrup,2009,303995.0
Ishøj,2009,279418.0
Lyngby-Taarbæk,2009,364735.0
Rødovre,2009,285322.0
Vallensbæk,2009,325840.0
Allerød,2009,347201.0
Egedal,2009,324578.0
Fredensborg,2009,353250.0
Frederikssund,2009,319717.0
Furesø,2009,365948.0
Gribskov,2009,314526.0
Halsnæs,2009,284784.0
Helsingør,2009,336590.0
Hillerød,2009,329438.0
Hørsholm,2009,423212.0
Rudersdal,2009,414696.0
Bornholm,2009,0.0
Greve,2009,335718.0
Køge,2009,312925.0
Lejre,2009,321101.0
Roskilde,2009,328206.0
Solrød,2009,350648.0
Faxe,2009,287883.0
Guldborgsund,2009,291203.0
Holbæk,2009,318835.0
Kalundborg,2009,309217.0
Lolland,2009,301125.0
Næstved,2009,333976.0
Odsherred,2009,266156.0
Ringsted,2009,318387.0
Slagelse,2009,304830.0
Sorø,2009,312183.0
Stevns,2009,310791.0
Vordingborg,2009,288647.0
Assens,2009,285818.0
Faaborg-Midtfyn,2009,281769.0
Kerteminde,2009,320833.0
Langeland,2009,195709.0
Middelfart,2009,322600.0
Nordfyns,2009,298134.0
Nyborg,2009,281940.0
Odense,2009,303895.0
Svendborg,2009,324599.0
Ærø,2009,261119.0
Billund,2009,314084.0
Esbjerg,2009,320092.0
Fanø,2009,284757.0
Fredericia,2009,310884.0
Haderslev,2009,320384.0
Kolding,2009,309043.0
Sønderborg,2009,309721.0
Tønder,2009,287976.0
Varde,2009,308431.0
Vejen,2009,293974.0
Vejle,2009,329958.0
Aabenraa,2009,308226.0
Favrskov,2009,292112.0
Hedensted,2009,308926.0
Horsens,2009,301014.0
Norddjurs,2009,278367.0
Odder,2009,307475.0
Randers,2009,297599.0
Samsø,2009,252052.0
Silkeborg,2009,313908.0
Skanderborg,2009,312464.0
Syddjurs,2009,291394.0
Aarhus,2009,296705.0
Herning,2009,321984.0
Holstebro,2009,325472.0
Ikast-Brande,2009,281213.0
Lemvig,2009,273587.0
Ringkøbing-Skjern,2009,311212.0
Skive,2009,309455.0
Struer,2009,324900.0
Viborg,2009,332193.0
Brønderslev,2009,262454.0
Frederikshavn,2009,312231.0
Hjørring,2009,315441.0
Jammerbugt,2009,297562.0
Læsø,2009,229346.0
Mariagerfjord,2009,300737.0
Morsø,2009,355492.0
Rebild,2009,295749.0
Thisted,2009,324123.0
Vesthimmerlands,2009,286396.0
Aalborg,2009,291008.0
Copenhagen,2010,297422.0
Frederiksberg,2010,349249.0
Dragør,2010,425605.0
Tårnby,2010,336077.0
Albertslund,2010,313767.0
Ballerup,2010,362745.0
Brøndby,2010,312431.0
Gentofte,2010,547132.0
Gladsaxe,2010,366430.0
Glostrup,2010,352698.0
Herlev,2010,351776.0
Hvidovre,2010,332723.0
Høje-Taastrup,2010,335476.0
Ishøj,2010,312103.0
Lyngby-Taarbæk,2010,439006.0
Rødovre,2010,318815.0
Vallensbæk,2010,364424.0
Allerød,2010,402419.0
Egedal,2010,370968.0
Fredensborg,2010,415189.0
Frederikssund,2010,361698.0
Furesø,2010,437101.0
Gribskov,2010,353637.0
Halsnæs,2010,316091.0
Helsingør,2010,393240.0
Hillerød,2010,380939.0
Hørsholm,2010,527023.0
Rudersdal,2010,521450.0
Bornholm,2010,0.0
Greve,2010,386776.0
Køge,2010,353753.0
Lejre,2010,344502.0
Roskilde,2010,374850.0
Solrød,2010,408620.0
Faxe,2010,315182.0
Guldborgsund,2010,333193.0
Holbæk,2010,367910.0
Kalundborg,2010,329969.0
Lolland,2010,311766.0
Næstved,2010,349485.0
Odsherred,2010,296574.0
Ringsted,2010,347292.0
Slagelse,2010,337595.0
Sorø,2010,347770.0
Stevns,2010,342455.0
Vordingborg,2010,329585.0
Assens,2010,320025.0
Faaborg-Midtfyn,2010,323399.0
Kerteminde,2010,329770.0
Langeland,2010,303462.0
Middelfart,2010,364789.0
Nordfyns,2010,342879.0
Nyborg,2010,332116.0
Odense,2010,336215.0
